address,area,city,state,room_type,room_count,room_facilities,site_review_rating,site_review_count,Property_id,Property_name,Property_type
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,Himachal Pradesh,Deluxe Room,17,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",4,87,1,Property_1,Type_1
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,Haryana,Deluxe Room With Free WIFI,18,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Coffee Table|Snacks / Beverage|TV|Room Heater|Mirror|Mini Refrigerator|Utensils (on request)|Attached Bathroom",4.5,8,2,Property_2,Type_2
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,Goa,Standard Room,15,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom,2.5,2,3,Property_3,Type_0
Simsa,Village Simsa,Manali,Himachal Pradesh,Deluxe Room,24,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water,5,1,4,Property_4,Type_1
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,Delhi,Standard Room Non AC,20,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Mirror,2.8,121,5,Property_5,Type_2
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,Delhi,Club Room,24,Room Service |Air Conditioning |Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Voicemail|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Bathrobes|Mirror|Luggage Rack,4,550,8,Property_8,Type_2
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,Rajasthan,Standared Room,2,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,3,1,9,Property_9,Type_0
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,Assam,Deluxe Ac Suite with Kitchentte,4,Room Service |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Mirror,4.3,21,11,Property_11,Type_2
"Titawada, Nerul Bardez Goa",Candolim Area,Goa,Goa,AC 1 BHK,2,Air Conditioning |Ceiling Fan|Full Kitchen|Refrigerator|Shower Facility Available| Hot / Cold Running Water|Breakfast Available|Coffee Table|Split A.C's|TV|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Attached Bathroom,4.6,38,15,Property_15,Type_0
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,Tamil Nadu,Deluxe Room,22,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror,3.6,28,16,Property_16,Type_1
